station_id,station_name_id,station_name,location_id,latitude,longitude,first_hour,last_hour,days_covered,active_hours,total_n_lends,total_n_returns,total_demand,avg_daily_demand,continent_name,country_name,city_name,federal_state_name,postal_code,elevation
121376,20229,Lindenhof - Jugendherberge,9856,49.477,8.464,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,11419,11381,22800,21.944,EU,Germany,Ludwigshafen am Rhein,Baden-Württemberg,68163,
142863936,19901,Hauptbahnhof Mannheim 2,10027,49.48,8.471,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,12370,12316,24686,23.759,EU,Germany,Ludwigshafen am Rhein,Baden-Württemberg,68161,
148606240,28625,A1 - Landgericht/Universität,10213,49.485,8.463,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,29667,29145,58812,56.604,EU,Germany,Ludwigshafen am Rhein,Baden-Württemberg,68163,
1557693,20228,Lindenhof - Johanniskirche,9725,49.474,8.466,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,12820,12832,25652,24.689,EU,Germany,Mannheim,Baden-Württemberg,68163,
195402059,27006,Oststadt - Augusta Anlage,81802,49.478,8.49,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,6743,6728,13471,12.965,EU,Germany,Mannheim,Baden-Württemberg,68165,
24559076,19955,Herzogenried - Sandgewann,10823,49.51,8.484,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,2038,2056,4094,3.94,EU,Germany,Mannheim,Baden-Württemberg,68169,
24559100,20466,Neuhermsheim - Dragonerweg,9377,49.468,8.504,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,1632,1649,3281,3.158,EU,Germany,Mannheim,Baden-Württemberg,68163,
27230822,20425,N2 – Stadthaus,10258,49.486,8.466,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,12914,12542,25456,24.5,EU,Germany,Mannheim,Baden-Württemberg,68161,
27230871,20439,Neckarstadt-Ost - Herzogenriedpark,10764,49.504,8.477,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,13245,13165,26410,25.419,EU,Germany,Mannheim,Baden-Württemberg,68167,
27230961,1, Carl-Benz-Stadion,9930,49.478,8.502,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,9756,9700,19456,18.726,EU,Germany,Mannheim,Baden-Württemberg,68165,
27231009,20432,Neckarau - Friedrichstraße,7966,49.453,8.495,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,7046,7041,14087,13.558,EU,Germany,Mannheim,Baden-Württemberg,68199,
276163348,29051,Tunnelstraße / Suezkanal,10066,49.481,8.469,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,28218,28166,56384,54.268,EU,Germany,Ludwigshafen am Rhein,Baden-Württemberg,68161,
28450242,20227,Lindenhof - Hanns-Glückstein-Park ,9728,49.474,8.472,2023-03-31 23:00:00+00:00,2026-02-02 23:00:00+00:00,1039.0,24937,16328,16201,32529,31.308,EU,Germany,Mannheim,Baden-Württemberg,68163,
