network_name,total_rows,rows_real,rows_bike,rows_virtual,rows_only_nums,rows_unknown,unique_real_stations,unique_bike_stations,unique_virtual_stations,bike_return_pct,system_type
Berlin,16023683,5471742,3604676,6947265,0,0,4811,7051,4538,22.5,free_floating
Dresden,4551185,2562703,1988482,0,0,0,629,2199,0,43.69,free_floating
Mannheim,2682830,2579329,103497,0,4,0,145,2783,0,3.86,station_based
Düsseldorf,2228882,1319214,909660,0,8,0,673,1360,0,40.81,free_floating
Leipzig,2137554,1143325,994229,0,0,0,230,2385,0,46.51,free_floating
Heidelberg,1957306,1873100,84206,0,0,0,82,2550,0,4.3,station_based
Marburg,1908545,1837213,71332,0,0,0,74,505,0,3.74,station_based
Karlsruhe,1391532,677902,713630,0,0,0,555,1058,0,51.28,free_floating
Köln,1244021,658867,585154,0,0,0,318,3449,0,47.04,free_floating
Nürnberg,1242709,631486,611223,0,0,0,611,3432,0,49.18,free_floating
